series,participant,calories,total_time_2000m,avg_spm_2000m,total_strokes_2000m,split_time_500m_1,split_spm_500m_1,split_strokes_500m_1,split_time_500m_2,split_spm_500m_2,split_strokes_500m_2,split_time_500m_3,split_spm_500m_3,split_strokes_500m_3,split_time_500m_4,split_spm_500m_4,split_strokes_500m_4,total_time_2000m_seconds,avg_speed_2000,avg_speed_500m_1,avg_speed_500m_2,avg_speed_500m_3,avg_speed_500m_4,avg_stroke_length_2000m,avg_stroke_length_500m_1,avg_stroke_length_500m_2,avg_stroke_length_500m_3,avg_stroke_length_500m_4,sex
0,Maxime,171,6:33.4,28,186,1016,26,44,1020,25,43,976,29,47,921,34,52,393.4,18.301982714794104,17.716535433070867,17.647058823529413,18.442622950819672,19.54397394136808,10.75268817204301,11.363636363636363,11.627906976744185,10.638297872340425,9.615384615384615,M
0,Célestin,154,7:01.8,28,199,1031,27,46,1069,25,44,1073,28,50,1044,34,59,421.8,17.069701280227594,17.458777885548013,16.838166510757716,16.775396085740915,17.241379310344826,10.050251256281408,10.869565217391305,11.363636363636363,10.0,8.474576271186441,M
0,Julien,135,7:47.0,26,210,1164,25,48,1205,24,49,1152,28,54,1148,31,59,467.0,15.417558886509637,15.463917525773196,14.937759336099585,15.625,15.679442508710801,9.523809523809524,10.416666666666666,10.204081632653061,9.25925925925926,8.474576271186441,M
0,Neve,128,8:12.4,27,229,1235,26,54,1272,25,52,1228,28,58,1188,33,65,492.4,14.62225832656377,14.574898785425102,14.150943396226415,14.657980456026058,15.15151515151515,8.733624454148472,9.25925925925926,9.615384615384615,8.620689655172415,7.6923076923076925,M
1,Eric,131,7:57.3,27,219,1194,28,56,1212,26,53,1212,27,54,1155,29,56,477.3,15.08485229415462,15.075376884422113,14.851485148514852,14.851485148514852,15.584415584415586,9.132420091324201,8.928571428571429,9.433962264150944,9.25925925925926,8.928571428571429,M
1,Edouard,130,8:03.7,30,242,1148,31,59,1255,29,60,1253,29,61,1181,31,62,483.7,14.885259458341949,15.679442508710801,14.342629482071713,14.365522745411013,15.241320914479257,8.264462809917354,8.474576271186441,8.333333333333334,8.19672131147541,8.064516129032258,M
1,Baptiste,125,8:21.1,24,208,1186,27,53,1254,24,50,1307,23,49,1265,27,56,501.1,14.368389543005387,15.177065767284992,14.354066985645932,13.771996939556235,14.229249011857709,9.615384615384615,9.433962264150944,10.0,10.204081632653061,8.928571428571429,M
1,Loïs,124,8:24.1,30,254,1191,31,61,1302,29,62,1294,30,65,1254,32,66,504.1,14.28288038087681,15.113350125944585,13.824884792626728,13.910355486862441,14.354066985645932,7.874015748031496,8.19672131147541,8.064516129032258,7.6923076923076925,7.575757575757576,M
2,Usama,134,7:54.8,27,214,1128,28,53,1223,26,53,1231,25,52,1167,29,56,474.8,15.164279696714406,15.957446808510639,14.717906786590351,14.62225832656377,15.424164524421592,9.345794392523365,9.433962264150944,9.433962264150944,9.615384615384615,8.928571428571429,M
2,Noé,130,8:05.8,34,280,1157,35,68,1236,33,67,1246,34,71,1219,36,74,485.8,14.820913956360641,15.557476231633535,14.563106796116505,14.446227929373995,14.766201804757998,7.142857142857143,7.352941176470588,7.462686567164179,7.042253521126761,6.756756756756757,M
2,Jacqueline,124,8:29.2,28,238,1249,28,58,1275,27,57,1289,28,61,1279,29,62,509.2,14.139827179890025,14.411529223378704,14.117647058823529,13.964313421256788,14.073494917904613,8.403361344537815,8.620689655172415,8.771929824561404,8.19672131147541,8.064516129032258,F
2,Emilien,120,8:46.9,25,223,1250,30,63,1336,22,50,1369,23,53,1313,26,57,526.9,13.664832036439552,14.399999999999999,13.47305389221557,13.148283418553689,13.709063214013709,8.968609865470851,7.936507936507937,10.0,9.433962264150944,8.771929824561404,M
3,Léa,125,8:21.9,28,241,1183,31,61,1246,27,56,1299,28,60,1292,30,64,501.9,14.34548714883443,15.215553677092139,14.446227929373995,13.856812933025404,13.931888544891642,8.298755186721992,8.19672131147541,8.928571428571429,8.333333333333334,7.8125,F
3,Orlane,118,8:49.7,30,272,1303,31,67,1341,29,65,1332,30,66,1321,34,74,529.7,13.592599584670568,13.814274750575594,13.422818791946309,13.513513513513514,13.626040878122634,7.352941176470588,7.462686567164179,7.6923076923076925,7.575757575757576,6.756756756756757,F
3,Anaë,110,9:46.9,24,239,1334,29,64,1506,23,57,1552,22,58,1477,24,60,586.9,12.267848014994037,13.493253373313342,11.952191235059761,11.597938144329897,12.186865267433987,8.368200836820083,7.8125,8.771929824561404,8.620689655172415,8.333333333333334,F
3,Tom,108,9:59.6,31,317,1424,32,76,1522,27,69,1513,32,80,1537,36,92,599.6,12.00800533689126,12.640449438202248,11.826544021024969,11.896893588896233,11.711125569290827,6.309148264984227,6.578947368421052,7.246376811594203,6.25,5.434782608695652,M
4,Alice,132,7:58.1,28,229,1194,30,60,1206,28,57,1203,27,55,1178,29,57,478.1,15.059610960050197,15.075376884422113,14.925373134328357,14.962593516209477,15.280135823429541,8.733624454148472,8.333333333333334,8.771929824561404,9.090909090909092,8.771929824561404,F
